TCOM 3021, 25248.0, W, 02:00 PM - 02:50 PM, 3.0, TCOM 3021 - g:Internship (W 02:00 PM - 02:50 PM)
TCOM 3051, 26455.0, TR, 02:00 PM - 03:15 PM, 3.0, TCOM 3051 - g:Web Design (T/R 02:00 PM - 03:15 PM)
TCOM 4020, 25249.0, TR, 03:30 PM - 04:45 PM, 3.0, TCOM 4020 - g:Senior Seminar (T/R 03:30 PM - 04:45 PM)
TCOM 4061, 26456.0, TR, 12:30 PM - 01:45 PM, 3.0, TCOM 4061 - g:Storytelling with Data (T/R 12:30 PM - 01:45 PM)
TCOM 4089, 26457.0, TR, 05:00 PM - 06:15 PM, 3.0, TCOM 4089 - Advanced Grant Writing (T/R 05:00 PM - 06:15 PM)
TCOM 5061, 26518.0, TR, 12:30 PM - 01:45 PM, 3.0, TCOM 5061 - Storytelling with Data (T/R 12:30 PM - 01:45 PM)
TCOM 5061, 26519.0, TR, 12:30 PM - 01:45 PM, 3.0, TCOM 5061 - Storytelling with Data (T/R 12:30 PM - 01:45 PM)
TCOM 5089, 26458.0, TR, 05:00 PM - 06:15 PM, 3.0, TCOM 5089 - Advanced Grant Writing (T/R 05:00 PM - 06:15 PM)
TCOM 5089, 26525.0, TR, 05:00 PM - 06:15 PM, 3.0, TCOM 5089 - Advanced Grant Writing (T/R 05:00 PM - 06:15 PM)
GEOP 589, 31106.0, M, 09:00 AM - 09:50 AM, 1.0, GEOP 589 - Topics in Cmputatnl Geophysics (M 09:00 AM - 09:50 AM)
GEOP 592, 30987.0, M, 01:00 PM - 01:50 PM, 1.0, GEOP 592 - Graduate Seminar (M 01:00 PM - 01:50 PM)
GEOP 593, 30988.0, F, 12:00 PM - 12:50 PM, 1.0, GEOP 593 - Seminar (F 12:00 PM - 12:50 PM)
GEOL 1190, 31493.0, MWF, 11:00 AM - 11:50 AM, 3.0, GEOL 1190 -  Geology of the National Parks (M/W/F 11:00 AM - 11:50 AM)
GEOL 1190L, 31496.0, M, 02:00 PM - 05:00 PM, 1.0, GEOL 1190L - Geology of the Natl Park Lab (M 02:00 PM - 05:00 PM)
GEOL 1190L, 31505.0, T, 02:00 PM - 05:00 PM, 1.0, GEOL 1190L - Geology of the Natl Park Lab (T 02:00 PM - 05:00 PM)
GEOL 200, 31770.0, TR, 09:30 AM - 10:45 AM, 3.0, GEOL 200 - Introduction to Mineralogy (T/R 09:30 AM - 10:45 AM)
GEOL 200L, 31771.0, R, 02:00 PM - 05:00 PM, 1.0, GEOL 200L - Introduction to Mineralogy Lab (R 02:00 PM - 05:00 PM)
GEOL 206, 31543.0, TR, 11:00 AM - 12:15 PM, 4.0, GEOL 206 - Earth History (T/R 11:00 AM - 12:15 PM)
SOSC 1320, 25300.0, TR, 08:00 AM - 09:15 AM, 3.0, SOSC 1320 - Creation of the Univer (Fresh) (T/R 08:00 AM - 09:15 AM)
SOSC 1320, 25301.0, TR, 08:00 AM - 09:15 AM, 3.0, SOSC 1320 - g:Creation of the Universe (T/R 08:00 AM - 09:15 AM)
SOSC 2120, 26452.0, TR, 09:30 AM - 10:45 AM, 3.0, SOSC 2120 - g:Accidents & Disasters (T/R 09:30 AM - 10:45 AM)
GEOL 2330, 30961.0, MW, 12:00 PM - 12:50 PM, 3.0, GEOL 2330 - Sedimentology, Stratigraphy & (M/W 12:00 PM - 12:50 PM)
